Grammar Point,Meaning,Formation,Example (Japanese),Example (Romaji),Example (English),JLPT Level
A。ただB。(~tada),"Express contrast between two situations; 'although', 'but', 'however'.",Sentence A + ただ + Sentence B,彼は頭がいい。ただ、努力はあまりしない。,"Kare wa atama ga ii. Tada, doryoku wa amari shinai.","He is smart; however, he doesn't make much effort.",JLPT N2
A。ただしB。 (A. Tadashi B),"Adding a condition or exception to a statement; 'however', 'provided that', 'but only if'.",Statement A + ただし + Condition B,この部屋を使ってもいいです。ただし、使った後で掃除してください。,"Kono heya wo tsukatte mo ii desu. Tadashi, tsukatta ato de souji shite kudasai.","You can use this room. However, please clean up after you use it.",JLPT N2
A。だって B。(Datte~),"Used to give a reason, express cause or bring up a topic; 'because', 'since', 'it's just that'.",Verb-casual + だって、い-Adjective + だって、な-Adjective + だって、Noun + だって,暇だって、映画を見に行こうよ。,"Hima datte, eiga wo mi ni ikou yo.","Since we are free, let's go watch a movie.",JLPT N2
A。ちなみに B。(A. Chinamini B.),"Used to give additional information about the topic; 'by the way', 'incidentally'.",A。ちなみに B。,今日は授業がありません。ちなみに、明日も休みです。,"Kyou wa jugyou ga arimasen. Chinamini, asu mo yasumi desu.","There's no class today. By the way, tomorrow is also a day off.",JLPT N2
A。ということは B。 (A. To iu koto wa B.),"Expresses the meaning 'if A, that means B' or 'A implies B'.",A + ということは + B,彼女が泣いている。ということは何か悲しいことがあったに違いない。,Kanojo ga naite iru. To iu koto wa nanika kanashii koto ga atta ni chigainai.,She is crying. That means something sad must have happened.,JLPT N2
A。というのは B。(Toiu no wa~),"Used to give an explanation or provide additional information for A; 'that is to say', 'in other words'.",[Statement A]。というのは、[Statement B]。,彼は非常に疲れています。というのは、昨夜、車で遠くまで行ってきたためです。,"Kare wa hijou ni tsukareteimasu. To iu no wa, sakuya, kuruma de tooku made itte kita tame desu.","He is very tired. That is to say, because he went far by car last night.",JLPT N2
A。なおB。(A. Nao B.),"Provides additional information; 'moreover', 'besides', 'in addition'.",A (sentence) + なお + B (sentence),明日は休みです。なお、月曜日も休みです。,"Ashita wa yasumi desu. Nao, getsuyoubi mo yasumi desu.","Tomorrow is a holiday. Moreover, Monday is also a holiday.",JLPT N2
A。もっとも B。(Motto mo ~),"Express contrasting opinions or facts; 'although', 'but', 'however'.",Clause A + もっとも + Clause B,彼は頭がいい。もっとも、勉強も大切だ。,"Kare wa atama ga ii. Mottomo, benkyou mo taisetsu da.","He is smart. However, studying is also important.",JLPT N2
A。要するに B。(A. Yousuru ni B.),"Expressing 'in short', 'in a nutshell', or 'to sum up' when restating or summarizing A as B.",A。要するに B。,このプロジェクトは成功しました。要するに、私たちのチームは素晴らしい仕事をしました。,"Kono purojekuto wa seikou shimashita. Yousuru ni, watashitachi no chiimu wa subarashii shigoto o shimashita.","This project was successful. In short, our team did a great job.",JLPT N2
Noun につき (〜ni tsuki),"Indicates the reason, cause, or condition for something; 'due to', 'regarding', 'per'.",Noun + につき,試験につき、今日は静かにしてください。,"Shiken ni tsuki, kyou wa shizuka ni shite kudasai.","Due to the exam, please be quiet today.",JLPT N2
Noun にて (Noun nite),"Expresses location or means; 'at', 'in', 'by', 'with'.",Noun + にて,駅前広場にてイベントが開催されます。,Ekimae hiroba nite ibento ga kaisai saremasu.,An event will be held at the station square.,JLPT N2
Noun の ことだから (Noun no koto dakara),"Used to provide a reason or explanation based on one's knowledge about the noun; 'since', 'because', 'knowing'.",Noun + のことだから,料理が得意な彼のことだから、美味しい料理を作ってくれるでしょう。,"Ryouri ga tokui na kare no koto dakara, oishii ryouri wo tsukutte kureru deshou.","Since he’s good at cooking, he’ll probably make delicious food.",JLPT N2
Noun を はじめ (Noun wo hajime),"Meaning 'starting with', 'including', 'not only... but also'.",Noun + をはじめ,日本料理をはじめ、さまざまな料理がこのレストランで楽しめます。,"Nihon ryouri wo hajime, samazama na ryouri ga kono resutoran de tanoshimemasu.","You can enjoy various dishes in this restaurant, starting with Japanese cuisine.",JLPT N2
Noun を はじめとして (Noun wo hajime to shite),"Expresses 'starting with', 'beginning with', or 'including'.",Noun + をはじめとして,東京をはじめとして、日本にはたくさんの観光スポットがあります。,"Tōkyō o hajime to shite, Nihon ni wa takusan no kankō supotto ga arimasu.","There are many tourist spots in Japan, starting with Tokyo.",JLPT N2
Noun を はじめとする Noun (Noun o hajime to suru Noun),"Indicates a representative example of a group; 'starting with', 'including', 'such as'.",Noun1 を はじめとする Noun2,彼はフランス語をはじめとする外国語が話せる。,Kare wa furansugo o hajime to suru gaikokugo ga hanaseru.,"He can speak foreign languages, starting with French.",JLPT N2
Noun を めぐって (Noun wo megutte),Concerning; with regard to; about,Noun + を + めぐって,環境問題をめぐって、多くの議論が行われています。,"Kankyō mondai o megutte, ōku no giron ga okonawarete imasu.",Many discussions are held concerning environmental issues.,JLPT N2
Noun を めぐる Noun (Noun o meguru Noun),"Indicate a situation or event revolving around a particular noun; 'concerning', 'regarding', 'pertaining to'.",Noun1 + を + めぐる + Noun2,この事件をめぐる議論が続いています。,Kono jiken o meguru giron ga tsudzuite imasu.,The debate concerning this incident continues.,JLPT N2
Noun を もとに (Noun o moto ni),Based on; drawing from; using as a reference.,Noun + をもとに,この映画は実話をもとに作られました。,Kono eiga wa jitsuwa o moto ni tsukuraremashita.,This movie was made based on a true story.,JLPT N2
Noun を もとにして (Noun wo moto ni shite),Based on; using; utilizing.,Noun + をもとにして,彼の意見をもとにして、計画を変更しました。,"Kare no iken o moto ni shite, keikaku o henkō shimashita.","Based on his opinion, we changed the plan.",JLPT N2
Verb ことなく (~kotonaku),"Means 'without doing', 'not doing', or 'without happening'.",Verb-stem + ことなく,彼女は泣くことなく帰ってしまいました。,Kanojo wa naku koto naku kaette shimaimashita.,She went home without crying.,JLPT N2
Verb ないことには Verb ない (~nai koto ni wa ~ nai),Express that something cannot be done without meeting a certain condition.,Verb-ない + ことには + Verb-ない,薬を飲まないことには、病気が治らない。,"Kusuri o nomanai koto ni wa, byōki ga naoranai.","Unless you take the medicine, the illness won't get better.",JLPT N2
～あげく (~ageku),"Expresses the outcome of a series of actions or events; 'in the end', 'finally', 'after'.",Verb-た + あげく / Noun + の + あげく,長い時間待ったあげく、電車が来なかった。,"Nagai jikan matta ageku, densha ga konakatta.","After waiting a long time, in the end, the train didn't come.",JLPT N2
～あまり (〜amari),Expresses the result of doing something excessively or beyond a certain point.,"Verb-ます stem + あまり, い-Adjective + あまり, な-Adjective + のあまり, Noun + のあまり",昨日は疲れすぎたあまり、朝まで眠り続けました。,"Kinō wa tsukare-sugita amari, asa made nemuri tsuzukemashita.","Yesterday, I was so tired that I slept until morning.",JLPT N2
～うちに (〜uchi ni),"Expresses doing something while a certain condition still holds; 'while', 'before', 'as long as'.","Verb-casual + うちに, い-Adjective + うちに, な-Adjective + なうちに, Noun + のうちに",元気なうちに、旅行を楽しんでください。,"Genki na uchi ni, ryokō o tanoshinde kudasai.",Enjoy traveling while you are healthy.,JLPT N2
～がい (〜gai),Expresses 'worth doing' for verbs.,Verb-stem + がい,この本は読みがいがあります。,Kono hon wa yomi-gai ga arimasu.,This book is worth reading.,JLPT N2
～かいがあって (〜kaiga atte),Used to express that an effort is worth it or has value; 'to be worth the effort' or 'to pay off'.,Verb-past + かいがあって / Noun + の + かいがあって,毎日勉強したかいがあって、テストに合格しました。,"Mainichi benkyō shita kai ga atte, tesuto ni gōkaku shimashita.",Studying every day paid off—I passed the test.,JLPT N2
～かいもなく (〜kai mo naku),"Expresses the meaning of 'without worth', 'in vain', 'fruitless'.",Verb-た + かいもなく / Noun + の + かいもなく,長い間苦労したかいもなく、失敗してしまった。,"Nagai aida kurō shita kai mo naku, shippai shite shimatta.","I struggled for a long time, but in the end, it was all in vain and I failed.",JLPT N2
～かける (〜kakeru),Indicates a process or action is 'in progress' or 'halfway'.,Verb-stem + かける,彼女は食べかけのリンゴを置いて出かけた。,Kanojo wa tabe-kake no ringo o oite dekaketa.,She left a partially eaten apple and went out.,JLPT N2
～がち (〜gachi),Expresses that something tends to occur frequently or habitually.,Verb-ます stem + がち / い-Adjective stem + がち / な-Adjective stem + がち,彼は風邪を引きがちです。,Kare wa kaze o hiki-gachi desu.,He tends to catch colds easily.,JLPT N2
～か～ないかのうちに (〜ka〜naika no uchi ni),"Expresses an action that occurs immediately after another action; 'as soon as', 'no sooner than', 'the moment'.",Verb-casual + か + Verb-negative form + かのうちに,駅に着くか着かないかのうちに、雨が降り出した。,"Eki ni tsuku ka tsukanai ka no uchi ni, ame ga furidashita.",No sooner had I arrived at the station than it started raining.,JLPT N2
～かねない (〜kane nai),Express the likelihood of a negative outcome or consequence.,Verb-stem + かねない,彼はあまりにも無責任で、約束を破りかねない。,"Kare wa amarini mo musekinin de, yakusoku o yaburi-kane nai.",He is so irresponsible that he might break his promise.,JLPT N2
～かねる (〜kaneru),Express inability or impossibility of doing an action (often as a polite refusal).,Verb-ます stem + かねる,その問題は難しいので、私には解決しかねます。,"Sono mondai wa muzukashii no de, watashi ni wa kaiketsu shi-kanemasu.","Since that problem is difficult, I cannot solve it.",JLPT N2
～かのようだ (〜ka no you da),"Express a similarity or comparison; 'as if', 'like', 'as though'.","Verb-casual + かのようだ, い-Adjective + かのようだ, な-Adjective + であるかのようだ, Noun + であるかのようだ",彼は犬が怖いかのようだ。,Kare wa inu ga kowai ka no you da.,He seems as if he is scared of dogs.,JLPT N2
～か～まいか (〜ka 〜maika),Used to express a dilemma or indecision between two options or actions.,"Verb-volitional + か + Verb-volitional + まいか, い-Adjective + であるか + い-Adjective + であるまいか, な-Adjective + であるか + な-Adjective + であるまいか, Noun + であるか + Noun + であるまいか",このプロジェクトを引き受けようか引き受けまいか、まだ決めていない。,"Kono purojekuto o hikiukeyou ka hikiukemai ka, mada kimete inai.",I haven't decided whether to take on this project or not.,JLPT N2
～からこそ (〜kara koso),"Express the emphasis on the reason; 'precisely because', 'it is precisely because'.","Verb-casual + からこそ, い-Adjective + からこそ, な-Adjective + だからこそ, Noun + だからこそ",失敗したからこそ、成功の意味がわかる。,"Shippai shita kara koso, seikou no imi ga wakaru.",It is precisely because I failed that I understand the meaning of success.,JLPT N2
〜からして (〜kara shite),"Expresses that something is exceptional, unusual, or negative based on a particular aspect or point.",Noun + からして,彼の顔つきからして、何か悪いことがあったのだろう。,"Kare no kaotsuki kara shite, nanika warui koto ga atta no darou.","From his facial expression, something bad must have happened.",JLPT N2
～からすると (〜kara suru to),"Expresses a judgment or evaluation based on a certain standard; 'from this perspective', 'considering', 'judging from'.",Noun + からすると,経験からすると、この仕事は難しいでしょう。,"Keiken kara suru to, kono shigoto wa muzukashii deshou.","Considering their experience, this job might be difficult.",JLPT N2
～からといって (〜kara to itte),Expresses 'just because...doesn't mean' or 'even though...not necessarily'.,"Verb-casual + からといって, い-Adjective + からといって, な-Adjective + だからといって, Noun + だからといって",雨が降ったからといって、試合が中止になるわけではありません。,"Ame ga futta kara to itte, shiai ga chuushi ni naru wake de wa arimasen.",Just because it rained doesn't mean the game will be canceled.,JLPT N2
～から～にかけて (〜kara 〜ni kakete),"Expresses a range of time, space, or quantities; 'from...to', 'between...and', 'over'.",Noun 1 + から + Noun 2 + にかけて,午前９時から午後５時にかけて、仕事をしています。,"Gozen ku-ji kara gogo go-ji ni kakete, shigoto wo shite imasu.",I work from 9 in the morning to 5 in the evening.,JLPT N2
～からには (〜kara niwa),"Express a sense of responsibility or determination; 'since', 'now that', 'if'.","Noun + だ + からには, な-Adjective + だ + からには, い-Adjective + からには, Verb-casual + からには",試験に合格したからには、一所懸命働かなければならない。,"Shiken ni goukaku shita kara niwa, isshokenmei hatarakanakereba naranai.","Since I passed the exam, I have to work hard.",JLPT N2
～から見ると (〜kara miru to),"Express a perspective or point of view; 'from the standpoint of', 'in terms of', 'from the perspective of'.",Noun + から見ると,費用から見ると、このプランはお得です。,"Hiyou kara miru to, kono puran wa otoku desu.","In terms of cost, this plan is a good deal.",JLPT N2
～から言うと (〜kara iuto),"Express a judgment or opinion based on a specific criterion; 'speaking from', 'in terms of', 'from the viewpoint of'.","Noun + から言うと (common), [Verb-casual / Adjective + から言って] (less common)",値段から言うと、この商品が最もお得です。,"Nedan kara iuto, kono shouhin ga mottomo otoku desu.","Speaking from the viewpoint of price, this product is the best deal.",JLPT N2
～くせに (〜kuse ni),Used to criticize someone for doing something contrary to what one would expect from their nature or situation.,Verb (casual) + くせに / い-Adjective + くせに / な-Adjective + な(or の) + くせに / Noun + の + くせに,彼はいつも遅刻してくるくせに、自分が待たされるのが嫌いだ。,"Kare wa itsumo chikoku shite kuru kuse ni, jibun ga matasareru no ga kirai da.","He’s always late, yet he hates being kept waiting.",JLPT N2
～ことから (〜koto kara),"Indicates the reason or basis for something; 'because', 'since', 'due to'.",Verb-casual + ことから / い-Adjective + ことから / な-Adjective + なことから / Noun + のことから,彼は毎日運動することから、体が丈夫です。,"Kare wa mainichi undou suru koto kara, karada ga joubu desu.","Because he exercises every day, he is physically strong.",JLPT N2
～ことに (〜koto ni),"Used to express feelings or emotions about a situation, action, or outcome.",Verb-casual + ことに / い-Adjective + ことに / な-Adjective + なことに / Noun + のことに,彼が急に帰国することに驚いた。,Kare ga kyuu ni kikoku suru koto ni odoroita.,I was surprised that he suddenly returned to his home country.,JLPT N2
～ことになっている (〜koto ni natte iru),"Expresses that something is supposed to be or has been decided (rule, plan, custom).",Verb-plain form + ことになっている / い-Adjective + ことになっている / な-Adjective + だ + ことになっている / Noun + だ + ことになっている,日本では、左側を運転することになっています。,"Nihon de wa, hidarigawa o unten suru koto ni natte imasu.","In Japan, it is decided that people drive on the left side.",JLPT N2
～さえ～ば (〜sae ~ba),"Expresses that, as long as a certain condition is met, something else will follow; 'if only', 'provided that'.",Noun + さえ + Verb-conditional / Verb-ますstem + さえすれば / etc. (varies by part of speech),お金さえあれば、幸せです。,"Okane sae areba, shiawase desu.","As long as I have money, I’m happy.",JLPT N2
～ざるを得ない (〜zaru wo enai),Have no choice but to; cannot help but.,Verb-ない form (drop ない) + ざるを得ない,この仕事は締め切りが近いので、残業せざるを得ない。,"Kono shigoto wa shimekiri ga chikai no de, zangyou sezaru wo enai.","Since the deadline is near, I have no choice but to work overtime.",JLPT N2
～ずにはいられない (〜zu ni wa irarenai),Cannot help but; cannot resist doing; an irresistible urge.,Verb-ない form (drop ない) + ずにはいられない,この曲を聞くと、歌わずにはいられない。,"Kono kyoku o kiku to, utawazu ni wa irarenai.","When I hear this song, I can’t help but sing.",JLPT N2
～そうにない (〜sou ni nai),"Express the unlikelihood of something happening; 'not likely', 'doesn't seem'.",Verb-stem + そうにない / い-Adjective (drop い) + そうにない / な-Adjective + そうにない,この雨は止みそうにない。,Kono ame wa yami sou ni nai.,It doesn't seem like this rain will stop.,JLPT N2
～たかと思ったら (〜ta ka to omottara),"Express a sequence of events happening in quick succession; 'as soon as', 'no sooner than'.",Verb-た form + かと思ったら,電話をかけたかと思ったら、すぐに彼女が出た。,"Denwa o kaketa ka to omottara, sugu ni kanojo ga deta.",No sooner had I called than she picked up.,JLPT N2
～たきり (〜takiri),Express 'since then' or 'after'; used to indicate that an action occurred once and has not been repeated or that a state has continued since a certain event or time.,Verb-past + きり,彼は会社を辞めたきり、連絡がない。,"Kare wa kaisha o yameta kiri, renraku ga nai.","Ever since he quit the company, there's been no contact.",JLPT N2
～だけあって (〜dake atte),Expresses that something is as expected or deserves its reputation.,"Verb-casual + だけあって, い-Adjective + だけあって, な-Adjective + なだけあって, Noun + だけあって",彼は日本語が上手だけあって、日本人のように話すことができる。,"Kare wa nihongo ga jōzu dake atte, nihonjin no yō ni hanasu koto ga dekiru.","As expected from his good Japanese skills, he can speak like a native.",JLPT N2
～だけましだ (〜dake mashi da),"Expresses that although the situation isn’t ideal, it could be worse; 'it’s not great, but at least...'.","Verb-casual + だけましだ, い-Adjective + だけましだ, な-Adjective + だけましだ, Noun + だけましだ",失敗するだけましだ。もっと大変なことにならなくてよかった。,Shippai suru dake mashi da. Motto taihen na koto ni naranakute yokatta.,At least we only failed—it could’ve been much worse.,JLPT N2
～たところ (〜ta tokoro),"Used to describe an action that has just been completed, often followed by a result or observation.",Verb-past + ところ,掃除したところ、部屋がずっとキレイになりました。,"Sōji shita tokoro, heya ga zutto kirei ni narimashita.","I just finished cleaning, and the room is so much cleaner now.",JLPT N2
～たとたん (〜ta totan),"Express the moment something happens; 'as soon as', 'just when'.",Verb-past + たとたん,ドアを開けたとたん、雨が降り始めた。,"Doa o aketa totan, ame ga furi-hajimeta.","As soon as I opened the door, it started raining.",JLPT N2
～だらけ (〜darake),Indicates that something is full of or covered with a certain (usually negative) characteristic.,Noun + だらけ,彼の部屋はゴミだらけだ。,Kare no heya wa gomi darake da.,His room is full of trash.,JLPT N2
～っこない (〜kkonai),"Expresses the impossibility or very low probability of something happening; 'no way', 'impossible'.",Verb-negative stem + っこない,こんなに雪が降っているんだから、学校に間に合いっこない。,"Konna ni yuki ga futteirun dakara, gakkō ni maniai kkonai.","With snow falling this heavily, there's no way we'll make it to school on time.",JLPT N2
～つつ (〜tsutsu),"Shows two actions happening simultaneously or a contrast; 'while', 'although'.",Verb-stem + つつ,彼はテレビを見つつ、宿題をしていました。,"Kare wa terebi o mitsutsu, shukudai o shite imashita.",He was doing his homework while watching TV.,JLPT N2
～つつある (〜tsutsu aru),Expresses an ongoing process or gradual change.,Verb-stem + つつある,地球温暖化は進行しつつある。,Chikyū ondanka wa shinkō shitsutsu aru.,Global warming is in progress.,JLPT N2
～っぱなし (〜ppanashi),"Express a continuous action or state; 'left as is', 'non-stop'.",Verb-ます stem + っぱなし,窓を開けっぱなしにして、部屋が寒くなってしまった。,"Mado o akeppanashi ni shite, heya ga samuku natte shimatta.","I left the window open, and the room got cold.",JLPT N2
～っぽい (〜ppoi),"Indicates that something has the appearance, characteristics, or behavior of something else.","Noun + っぽい, Verb-casual + っぽい, い-Adjective + っぽい, な-Adjective + っぽい",彼女は大人っぽい服を着ている。,Kanojo wa otonappoi fuku o kite iru.,She’s wearing clothes that look mature.,JLPT N2
～ていられない (〜te irarenai),"Expresses that one cannot afford to do something; 'can't keep on', 'unable to continue'.",Verb-て form + いられない,こんなに忙しいのに、無理に遊んでいられない。,"Konna ni isogashii noni, muri ni asonde irarenai.",I'm so busy that I can't afford to just play around.,JLPT N2
～てかなわない (〜te kanawanai),"Expresses that something cannot be endured, tolerated, or is unbearable.",Adjective (〜く / 〜で) + て + かなわない / Verb phrase (reworded to an adjective/negative) + て + かなわない,こんなに暑くてかなわない。,Konnani atsukute kanawanai.,I can’t stand this heat.,JLPT N2
～てからでないと (〜te kara denai to),"Indicates that something cannot be done before a certain action is completed; 'not until', 'only after'.",Verb-て + からでないと,宿題をしてからでないと、遊びに行けません。,"Shukudai o shite kara denai to, asobi ni ikemasen.",You cannot go play until you’ve finished your homework.,JLPT N2
～てこそ (〜te koso),"Emphasizes the condition; 'only when', 'precisely because'.",Verb-て form + こそ / い-Adjective + くてこそ / な-Adjective + でこそ / Noun + でこそ,勉強してこそ、テストに合格できる。,"Benkyō shite koso, tesuto ni gōkaku dekiru.",Only when you study can you pass the test.,JLPT N2
～でしょうがない (〜deshou ga nai),"Expresses an intense emotional or physical state; 'extremely', 'can’t help but'.",い-Adjective(く) + てしょうがない / な-Adjective + で(は)しょうがない / Verb-て form + しょうがない,今日は暇で(は)しょうがない。,Kyō wa hima de shō ga nai.,I’m extremely bored today.,JLPT N2
～でたまらない (〜de tamaranai),"Express extremely strong feelings or sensations; 'can't stand', 'unbearably'.",い-Adjective (く) + てたまらない / な-Adjective + でたまらない / Verb-て form + たまらない,この暑さは本当に暑くてたまらない。,Kono atsusa wa hontō ni atsukute tamaranai.,This heat is absolutely unbearable.,JLPT N2
～でならない (〜de naranai),"Indicates an uncontrollable emotion or feeling; 'can’t help but', 'overwhelmingly'.",な-Adjective + でならない / い-Adjective (く) + てならない / Verb-て + ならない,彼の演技が素晴らしくてならない。,Kare no engi ga subarashikute naranai.,I can’t help but be amazed at his wonderful performance.,JLPT N2
～でばかりはいられない (〜de bakari wa irarenai),Cannot afford to only do something; cannot always rely on it.,Verb-て form + ばかりはいられない / Noun + ばかりはいられない (with appropriate particles),いつも助けてもらってばかりはいられない。,Itsumo tasukete moratte bakari wa irarenai.,I can’t just keep letting people help me all the time.,JLPT N2
～ではないか (〜de wa nai ka),"Used to show a strong assertion or emphasis on one’s opinion; 'isn't it?', 'aren't you?', 'right?'.",Noun + ではないか / い-Adjective + ではないか / な-Adjective + ではないか / Verb-casual + ではないか,彼は優秀な学生ではないか。,Kare wa yūshū na gakusei de wa nai ka.,Isn’t he an excellent student?,JLPT N2
～てはならない (〜te wa naranai),"Express prohibition; 'must not', 'cannot', 'should not'.",Verb-て form + はならない,ここでタバコを吸ってはならない。,Koko de tabako o sutte wa naranai.,You must not smoke here.,JLPT N2
～てまで (〜te made),"Express the extent someone goes in order to achieve something; 'to the point of', 'even', 'so far as to'.",Verb-て form + まで,彼は試験に合格するために、徹夜してまで勉強しました。,"Kare wa shiken ni gōkaku suru tame ni, tetsuya shite made benkyō shimashita.",He studied to the point of staying up all night in order to pass the exam.,JLPT N2
～て当然だ (〜te tōzen da),Expresses that something is natural or expected.,Verb-て form + 当然だ,彼は毎日勉強しているから、試験に合格して当然だ。,"Kare wa mainichi benkyō shite iru kara, shiken ni gōkaku shite tōzen da.","Since he studies every day, it's only natural that he passes the exam.",JLPT N2
～というものだ (〜to iu mono da),Expressing a general rule or common sense.,Sentence + というものだ,若者の熱情は尊敬に値するというものだ。,Wakamono no netsujō wa sonkei ni ataisuru to iu mono da.,The passion of young people is something that deserves respect.,JLPT N2
どうにか～ないものか (dō ni ka ~ nai mono ka),Express a strong desire or wish for something to be possible.,どうにか + Verb-negative form + ないものか,どうにかこの仕事を終わらせないものか。,Dō ni ka kono shigoto o owarasenai mono ka.,Isn't there some way to finish this job?,JLPT N2
～とおり (〜toori),"Express doing something as instructed or describing how something matches a rule or guideline; 'as', 'according to'.","Verb-casual + とおり, い-Adjective + とおり, な-Adjective + だとおり, Noun + だとおり",先生が言ったとおりに宿題をしました。,Sensei ga itta tōri ni shukudai o shimashita.,I did my homework exactly as the teacher said.,JLPT N2
～とか (〜to ka),"Used to list examples or express uncertainty; 'such as', 'like', 'or something like that'.","Verb-casual + とか, い-Adjective + とか, な-Adjective + だとか, Noun + だとか",休日は映画を見るとか、買い物に行くとかして過ごします。,"Kyūjitsu wa eiga o miru to ka, kaimono ni iku to ka shite sugoshimasu.","On my days off, I do things like watch movies or go shopping.",JLPT N2
～ところ (〜tokoro),"Express a specific point in time or state; 'when', 'just about', or 'in the middle of'.","Verb-casual + ところ, い-Adjective + ところ, な-Adjective + なところ, Noun + のところ",出かけるところです。,Dekakeru tokoro desu.,I'm just about to go out.,JLPT N2
～どころか (〜dokoro ka),"Express 'far from', 'not just', 'not only', or 'to say nothing of'.","Verb-casual + どころか, い-Adjective + どころか, な-Adjective + どころか, Noun + どころか",彼は歌が上手どころか、プロの歌手みたいだ。,"Kare wa uta ga jōzu dokoro ka, puro no kashu mitai da.","Far from just being good at singing, he sounds like a professional singer.",JLPT N2
～どころではない (〜dokoro de wa nai),Not the time/place for; far from; can't possibly.,"Verb-casual + どころではない, い-Adjective + どころではない, な-Adjective + どころではない, Noun + どころではない",彼の失敗を笑うどころではない。私たちも同じミスをしている。,Kare no shippai o warau dokoro de wa nai. Watashitachi mo onaji misu o shite iru.,This is not the time to laugh at his mistakes—we’re making the same ones.,JLPT N2
～としたら (〜to shitara),"Express a hypothetical situation; 'if', 'suppose', 'assuming'.","Verb-casual + としたら, い-Adjective + としたら, な-Adjective + だとしたら, Noun + だとしたら",明日雨が降るとしたら、傘を持っていきましょう。,"Ashita ame ga furu to shitara, kasa o motte ikimashō.","If it rains tomorrow, let’s bring umbrellas.",JLPT N2
～としても (〜to shite mo),"Even if, despite, although","Verb-casual + としても, い-Adjective + としても, な-Adjective + だとしても, Noun + だとしても",雨が降るとしても、レースは中止しません。,"Ame ga furu to shite mo, rēsu wa chūshi shimasen.","Even if it rains, we won't cancel the race.",JLPT N2
～と～ともに (〜to 〜tomoni),Expresses 'together with' or 'along with'; used to describe two events or actions happening simultaneously or in parallel.,"Verb-casual + とともに, い-Adjective + とともに, な-Adjective + とともに, Noun + とともに",彼が来るとともに、パーティーが始まりました。,"Kare ga kuru to tomoni, paatii ga hajimarimashita.",The party started as soon as he arrived.,JLPT N2
～とは限らない (〜to wa kagiranai),"Expresses that something is not necessarily true; 'not always', 'not necessarily'.","Verb-casual + とは限らない, い-Adjective + とは限らない, な-Adjective + だとは限らない, Noun + だとは限らない",いつも勉強しているとは限らない。,Itsumo benkyou shite iru to wa kagiranai.,It's not always true that I'm studying.,JLPT N2
～ないことはない (〜nai koto wa nai),"Express that something is not impossible, meaning it is possible or could be done.",Verb-ないform + ことはない,彼が来ないことはない。,Kare ga konai koto wa nai.,It's not that he won't come (it's possible that he will come).,JLPT N2
～ないこともない (〜nai koto mo nai),"Used to express an action or state is 'not impossible', but emphasizes reluctance or doubt.","Verb-ないForm + こともない, い-adjective + こともない",この問題は解けないこともないけど、難しいです。,"Kono mondai wa tokenai koto mo nai kedo, muzukashii desu.","It's not that I can't solve this problem, but it's difficult.",JLPT N2
～ないではいられない (〜nai de wa irarenai),Cannot help but; cannot avoid; unable to refrain from.,Verb-ない form + ではいられない or じゃいられない,この映画はとても感動的で、泣かないではいられなかった。,"Kono eiga wa totemo kandouteki de, nakanai de wa irarenakatta.","This movie was so touching, I couldn't help but cry.",JLPT N2
～ながら (〜nagara),Express doing two things simultaneously or at the same time.,Verb-stem + ながら,テレビを見ながら宿題をしています。,Terebi wo minagara shukudai wo shiteimasu.,I am doing my homework while watching TV.,JLPT N2
～にあたり (〜ni atari),"Expresses the meaning of 'at the time of', 'in', 'on', or 'upon'.",Noun + にあたり,入学にあたり、必要な書類を準備してください。,"Nyuugaku ni atari, hitsuyou na shorui wo junbi shite kudasai.",Please prepare the necessary documents upon entering the school.,JLPT N2
～において (〜ni oite),"Indicates the place, time, or context where an action or event occurs; 'in', 'at', 'on', 'regarding'.",Noun + において,この大学において、英語のクラスが一番人気があります。,"Kono daigaku ni oite, eigo no kurasu ga ichiban ninki ga arimasu.","In this university, English classes are the most popular.",JLPT N2
～にかかわらず (〜ni kakawarazu),Regardless of; irrespective of; (often used as) 'whether or not'.,"Verb-dictionary form + にかかわらず, い-Adjective + にかかわらず, な-Adjective + にかかわらず, Noun + にかかわらず",天気にかかわらず、今日の試合は行われます。,"Tenki ni kakawarazu, kyou no shiai wa okonawaremasu.","The game today will be held, regardless of the weather.",JLPT N2
～にかけては (〜ni kakete wa),Indicates a specific area or aspect in which someone or something excels.,Noun + にかけては,料理の腕前にかけては、彼女は誰にも負けません。,"Ryouri no udemae ni kakete wa, kanojo wa dare ni mo makemasen.","When it comes to cooking skills, she is second to none.",JLPT N2
～にしたがって (〜ni shitagatte),"Expresses a natural consequence or a change that occurs according to something else; 'as', 'with', 'in accordance with'.",Noun + にしたがって,成長にしたがって、この植物の葉が大きくなります。,"Seichou ni shitagatte, kono shokubutsu no ha ga ookiku narimasu.","As it grows, the leaves of this plant become larger.",JLPT N2
～にしたら (〜ni shitara),"Express a point of view; 'from the perspective of', 'if I were'.","Noun + にしたら, Pronoun + にしたら",彼にしたら、早く帰りたいだろう。,"Kare ni shitara, hayaku kaeritai darou.","From his perspective, he probably wants to go home early.",JLPT N2
